,country,Lat,Lng,temp (f),humidity %,cloudiness %,wind (mph)
tabas,IR,33.6,56.92,59,62,100,2.24
dzhebariki-khaya,RU,62.22,135.8,5.68,92,100,1.03
colombo,LK,6.93,79.85,77,94,20,2.24
cabo san lucas,MX,22.89,-109.91,80.6,53,20,9.17
yarmouth,CA,43.83,-66.12,50,93,90,11.41
port alfred,ZA,-33.59,26.89,66.02,82,1,26.31
butaritari,KI,3.07,172.79,80.71,77,100,13
yerbogachen,RU,61.28,108.01,20.57,95,100,11.5
hithadhoo,MV,-0.6,73.08,81.52,78,100,12.73
marsa matruh,EG,31.35,27.25,62.6,77,40,5.82
longyearbyen,SJ,78.22,15.64,33.8,80,75,16.11
okha,RU,53.57,142.95,35.58,94,100,13.35
grindavik,IS,63.84,-22.43,41,80,75,11.41
lodingen,NO,68.41,16,45,70,100,17.22
aswan,EG,24.09,32.91,64.49,40,0,10.65
gorontalo,ID,0.54,123.06,79.65,82,98,1.81
port macquarie,AU,-31.43,152.92,69.8,83,90,1.12
khorinsk,RU,52.17,109.77,18.21,93,7,1.68
fairbanks,US,64.84,-147.72,19.99,85,20,0.47
isangel,VU,-19.55,169.27,78.8,83,90,3.02
pierre,US,44.37,-100.35,36,55,1,13.87
kaitangata,NZ,-46.28,169.85,61,71,54,8.99
rock sound,BS,24.9,-76.2,79.77,83,96,12.37
mount gambier,AU,-37.83,140.77,55.4,87,75,13.87
axim,GH,4.87,-2.24,78.98,86,2,5.73
kamaishi,JP,39.27,141.88,49.95,64,0,5.86
kiama,AU,-34.68,150.87,78.01,66,99,4.43
athens,US,33.96,-83.38,73.4,78,75,4.81
monteagudo,BO,-19.82,-63.98,66.54,85,26,1.61
sari,IR,36.56,53.06,52.66,76,100,1.36
poum,NC,-20.23,164.02,77.5,78,28,18.45
cururupu,BR,-1.83,-44.87,77.13,90,64,3.29
lodja,CD,-3.48,23.43,70.03,92,96,1.63
shitkino,RU,56.37,98.35,29.8,94,100,8.75
beringovskiy,RU,63.05,179.32,21.13,95,100,16.31
zempoala,MX,19.45,-96.42,82.4,74,20,6.93
saint-augustin,CA,51.23,-58.65,34.34,84,52,10.63
fagersta,SE,60,15.79,39.99,93,99,4.7
changji,CN,44.02,87.32,35.6,59,0,4.47
la ronge,CA,55.1,-105.28,10.4,72,90,11.41
mount isa,AU,-20.73,139.5,84.2,58,0,6.93
sibolga,ID,1.74,98.78,76.37,81,77,3.42
dongning,CN,44.06,131.12,37.72,73,2,15.86
port lincoln,AU,-34.73,135.87,57.27,65,57,12.59
koster,ZA,-25.86,26.9,61.41,62,1,3.04
panama city,US,30.16,-85.66,80.6,61,1,10.29
paamiut,GL,61.99,-49.67,31.64,81,100,8.88
waitati,NZ,-45.75,170.57,62.01,72,0,11.99
bethel,US,41.37,-73.41,45,90,100,3
port hedland,AU,-20.32,118.57,75.2,69,2,6.93
oksfjord,NO,70.24,22.35,37.4,74,0,11.41
hualmay,PE,-11.1,-77.61,65.26,78,34,8.75
sobolevo,RU,54.43,31.9,28.96,97,52,4.34
plettenberg bay,ZA,-34.05,23.37,68.04,60,0,4.32
zhigansk,RU,66.77,123.37,9.12,95,100,12.8
liseleje,DK,56.01,11.95,46.99,100,100,9.26
harnosand,SE,62.63,17.94,42.01,86,100,5.82
tautira,PF,-17.73,-149.15,80.6,78,75,10.29
tuscaloosa,US,33.21,-87.57,63,82,40,5.61
silver city,US,32.77,-108.28,60.8,21,1,8.05
flagstaff,US,35.2,-111.65,51.8,20,1,5.82
lydenburg,ZA,-25.1,30.46,63,94,0,0.34
nabire,ID,-3.37,135.48,82.11,70,98,1.95
nome,US,64.5,-165.41,30.99,92,90,6.22
pisco,PE,-13.7,-76.22,68,77,0,17.22
kismayo,SO,-0.36,42.55,80.08,82,67,9.98
trairi,BR,-3.28,-39.27,80.17,72,13,12.06
tuatapere,NZ,-46.13,167.68,69.01,47,18,4
dovolnoye,RU,54.5,79.67,25.77,93,95,12.75
trincomalee,LK,8.57,81.23,82.83,79,100,9.4
kavieng,PG,-2.57,150.8,84.45,68,37,4.56
skiathos,GR,39.16,23.49,53.01,89,52,3.18
mokama,IN,25.4,85.92,70.5,48,0,3.51
sao felix do xingu,BR,-6.64,-51.99,79.47,67,100,2.04
esperance,AU,-33.87,121.9,57.2,76,12,13.87
yellowknife,CA,62.46,-114.35,21.99,92,75,8.05
lompoc,US,34.64,-120.46,64.4,67,1,11.41
wattegama,LK,6.8,81.48,75.2,100,20,2.24
omboue,GA,-1.57,9.26,76.95,91,98,4.34
victoria,SC,-4.62,55.45,80.6,74,20,2.24
jumla,NP,29.27,82.18,42.53,48,0,4.72
moroni,KM,-11.7,43.26,77.38,76,95,1.99
srednekolymsk,RU,67.45,153.68,-13.45,89,97,4.52
abnub,EG,27.27,31.15,71.6,40,0,8.05
viseu,BR,-1.2,-46.14,78.84,84,97,5.41
quesnel,CA,53,-122.5,32,84,90,10.29
mega,ET,4.05,38.3,59.85,87,0,6.87
dong hoi,VN,17.48,106.6,67.84,78,29,9.26
promyshlennyy,RU,67.58,63.92,-4.09,92,0,1.45
monte alegre,BR,-2.01,-54.07,81.01,70,32,3.56
sola,VU,-13.88,167.55,84.2,79,75,4.7
teya,RU,60.38,92.63,16.57,95,100,2.33
vilyuysk,RU,63.76,121.62,18.95,98,100,5.46
chunskiy,RU,56.08,99.63,28.11,95,99,6.42
waipawa,NZ,-41.41,175.52,63,72,5,24.16
fort nelson,CA,58.81,-122.7,8.6,78,75,2.24
buala,SB,-8.14,159.59,84,76,100,7.07
santa catalina,CO,10.6,-75.29,84.2,79,75,5.82
georgetown,SH,-7.93,-14.42,74.97,79,100,18.05
shirokiy,RU,49.76,129.52,19.92,95,91,14.12
leh,IN,34.17,77.58,29.01,69,46,1.66
tasiilaq,GL,65.61,-37.64,23,53,35,5.82
seredka,RU,58.16,28.19,30.2,92,20,4.47
alofi,NU,-19.06,-169.92,82.4,69,75,13.87
paso de los toros,UY,-32.82,-56.52,75.2,47,20,5.82
kysyl-syr,RU,63.9,122.76,10.49,95,100,8.52
rio gallegos,AR,-51.62,-69.22,66.2,34,90,12.75
limbang,MY,4.75,115,80.6,88,75,3.36
sydney,AU,-33.87,151.21,75.2,69,75,10.29
juneau,US,58.3,-134.42,37.99,93,90,13.87
port hardy,CA,50.7,-127.42,42.8,93,90,19.46
cameta,BR,-2.24,-49.5,82.26,75,83,7.81
grand-santi,GF,4.25,-54.38,76.01,89,98,4.16
biak,ID,-0.91,122.88,80.89,74,65,1.36
maldonado,UY,-34.67,-54.92,66.2,82,75,8.05
yulara,AU,-25.24,130.99,77,22,0,12.75
durban,ZA,-29.86,31.03,68,72,90,6.93
mandalgovi,MN,45.76,106.27,27.23,79,40,6.04
chuy,UY,-33.7,-53.46,65.28,84,48,11.41
vanimo,PG,-2.67,141.3,83.59,66,87,1.7
ondjiva,AO,-17.07,15.73,71.55,71,99,4.65
la peca,PE,-5.61,-78.44,72.54,75,83,2.55
thompson,CA,55.74,-97.86,-0.4,77,20,2.24
cozumel,MX,20.51,-86.95,80.6,88,40,13.87
coahuayana,MX,18.73,-103.68,82.4,65,40,11.41
sambava,MG,-14.27,50.17,72.16,91,33,3.67
haines junction,CA,60.75,-137.51,30.2,58,93,1.01
hasaki,JP,35.73,140.83,48.2,87,40,5.82
san ramon,BO,-13.28,-64.72,84.74,54,55,0.04
manicore,BR,-5.81,-61.3,82.78,67,70,1.39
vila franca do campo,PT,37.72,-25.43,59,72,40,8.05
agirish,RU,61.92,63.02,17.42,94,100,9.53
nanortalik,GL,60.14,-45.24,29.71,91,100,9.64
bosobolo,CD,4.18,19.9,71.19,81,37,1.28
taltal,CL,-25.4,-70.48,60.69,71,27,3.89
kuruman,ZA,-27.45,23.43,69.6,44,0,14.38
verkhniy baskunchak,RU,48.23,46.72,29.84,92,1,8.57
constantine,DZ,36.37,6.61,53.6,66,20,2.24
harper,LR,4.38,-7.72,77.81,88,89,7.05
boyolangu,ID,-8.12,111.89,78.51,82,65,1.21
kawalu,ID,-7.38,108.21,73.99,87,65,1.34
kungurtug,RU,50.6,97.52,27.05,83,97,3.15
coquimbo,CL,-29.95,-71.34,57.2,82,75,9.17
gudur,IN,14.13,79.85,78.24,86,100,8.28
garden city,US,42.33,-83.33,46.4,52,40,6.93
athabasca,CA,54.72,-113.29,28.4,63,49,4.7
larkollen,NO,59.33,10.67,42.01,93,75,4.7
ko samui,TH,9.54,99.94,82.22,79,100,19.3
southport,GB,53.65,-3.01,52,87,100,7
manacapuru,BR,-3.3,-60.62,82.4,78,40,4.7
college,US,64.86,-147.8,19.99,84,40,0.51
cherskiy,RU,68.75,161.3,2.35,94,97,7.87
karacabey,TR,40.22,28.4,53.6,87,0,4.7
davila,PH,18.47,120.58,75.2,100,75,3.36
charlestown,KN,17.13,-62.62,75.99,94,75,13.87
tuktoyaktuk,CA,69.45,-133.04,1.4,84,75,9.17
halifax,CA,44.65,-63.57,59,100,100,1.12
manokwari,ID,-0.87,134.08,81.41,73,93,2.62
los llanos de aridane,ES,28.66,-17.92,69.8,88,0,3.36
hamilton,US,39.18,-84.53,52,66,0,3.98
pangnirtung,CA,66.15,-65.71,10.4,72,90,2.95
salalah,OM,17.02,54.09,77,78,20,3.36
olafsvik,IS,64.89,-23.71,40.35,75,97,19.93
sosnovo-ozerskoye,RU,52.52,111.54,17.4,95,12,4.09
lagoa,PT,39.05,-27.98,63.86,83,26,7.29
pacific grove,US,36.62,-121.92,60.8,59,1,9.17
lazaro cardenas,MX,17.96,-102.2,81.68,76,8,8.3
visby,SE,57.64,18.3,45,81,100,4.7
saldanha,ZA,-33.01,17.94,66.2,42,0,2.24
makat,KZ,47.65,53.35,27.39,90,2,9.19
at-bashi,KG,41.17,75.81,29.88,93,74,1.12
dharchula,IN,29.85,80.53,50.67,38,0,4.05
zhezkazgan,KZ,47.8,67.71,26.46,89,34,9.28
lincoln,AR,-34.87,-61.53,79,21,41,10.51
sabang,ID,5.89,95.32,81.41,80,94,8.52
saint-francois,GP,16.25,-61.27,78.8,78,90,3.36
modasa,IN,23.47,73.3,68.18,42,0,10.16
moranbah,AU,-22,148.05,79.84,41,0,12.33
sikasso,ML,10.92,-7,73.78,30,0,3.49
zainsk,RU,55.32,52.07,28.4,86,90,11.18
dubbo,AU,-32.25,148.62,75.2,57,40,12.75
tigil,RU,57.8,158.67,19.72,97,85,2.13
livingstone,ZM,-17.84,25.85,71.13,72,89,3.65
antigonish,CA,45.62,-62,50,80,100,1.01
ekhabi,RU,53.51,142.97,35.42,93,100,12.66
owando,CG,-0.48,15.9,73.35,87,76,2.06
cervo,ES,43.67,-7.41,60.01,79,80,1.99
luderitz,NA,-26.65,15.16,60.89,74,0,1.12
dingle,IE,52.14,-10.27,48.78,65,76,22.01
bathsheba,BB,13.22,-59.52,78.8,88,40,12.75
amurrio,ES,43.05,-3,60.01,66,30,6.98
jati,PK,24.35,68.27,71.87,27,0,5.64
xihe,CN,31.69,113.47,54.5,63,0,4.7
udachnyy,RU,66.42,112.4,14,92,90,6.71
tabou,CI,4.42,-7.35,78.44,86,59,6.17
palmas,BR,-10.21,-48.36,82.4,74,20,3.36
livingstonia,MW,-10.61,34.11,68.29,79,44,3.18
inyonga,TZ,-6.72,32.07,67.01,89,42,4.03
jinchang,CN,38.5,102.17,37.15,71,88,1.05
bo phloi,TH,14.32,99.52,71.6,79,99,5.82
panguna,PG,-6.32,155.48,79.68,78,46,1.34
cayenne,GF,4.93,-52.33,82.4,83,0,4.7
souillac,MU,-20.52,57.52,73.4,88,40,4.7
tolaga bay,NZ,-38.37,178.3,66.7,55,0,9.89
iskateley,RU,67.68,53.15,16.07,96,0,3.94
tetiz,MX,20.97,-89.93,82.99,78,75,11.41
annau,TM,37.89,58.52,44.6,87,90,6.93
moron,MN,47.38,110.32,26.69,84,26,8.7
lambarene,GA,-0.7,10.24,74.79,95,100,2.98
geraldton,AU,-28.77,114.6,60.8,82,34,6.93
pocoes,BR,-14.53,-40.37,64.99,92,0,6.98
leninsk,RU,48.71,45.2,24.8,73,0,4.47
nhulunbuy,AU,-12.23,136.77,84.2,70,40,11.41
norman wells,CA,65.28,-126.83,6.8,77,75,8.05
sabha,LY,27.04,14.43,61.75,43,36,8.08
hunsur,IN,12.31,76.29,67.24,97,100,9.62
inhambane,MZ,-23.86,35.38,67.44,78,10,8.08
alexandria,EG,31.22,29.96,62.6,88,40,2.24
carutapera,BR,-1.2,-46.02,79.68,81,95,6.06
verkhoyansk,RU,67.54,133.38,-11.52,88,82,1.77
erie,US,42.77,-78.67,43,71,6,6.4
feijo,BR,-8.16,-70.35,79.75,75,95,2.95
port blair,IN,11.67,92.75,80.89,81,42,13.18
banyo,CM,6.75,11.82,68.7,58,83,2.35
bull savanna,JM,17.89,-77.59,78.44,87,74,3.09
porto novo,CV,17.02,-25.06,78.8,78,20,12.75
guerrero negro,MX,27.98,-114.06,69.78,51,6,13.2
puerto escondido,MX,15.85,-97.07,84.2,70,75,5.82
padang,ID,-0.95,100.35,77.47,78,96,4.81
karpogory,RU,64,44.45,33.08,97,100,8.66
kenai,US,60.55,-151.26,35.6,93,90,8.16
puerto colombia,CO,10.99,-74.95,75.2,100,75,2.24
san cristobal,EC,-0.9,-89.62,69.76,78,95,11.01
chegdomyn,RU,51.12,133.02,26.02,97,100,2.8
gazanjyk,TM,39.24,55.52,41.07,62,1,9.46
dashitou,CN,43.31,128.51,31.08,90,0,11.3
chumikan,RU,54.72,135.31,28.51,98,100,4.72
umm kaddadah,SD,13.6,26.69,72.9,21,0,17.16
vao,NC,-22.67,167.48,73.74,83,99,9.93
san jose de sisa,PE,-6.62,-76.69,84.2,66,75,5.82
pevek,RU,69.7,170.31,7.99,93,47,7.05
samsun,TR,41.25,36.33,44.6,93,20,3.36
sibu,MY,2.3,111.82,75.2,94,20,3.36
mersing,MY,2.43,103.84,80.6,83,100,3.15
yeppoon,AU,-23.13,150.73,78.8,54,40,11.41
yuzhno-kurilsk,RU,44.03,145.86,47.73,75,26,16.35
lebanon,US,36.21,-86.29,60.8,47,1,5.82
boende,CD,-0.22,20.87,73.17,89,100,1.95
joshimath,IN,30.57,79.57,47.8,33,0,3.91
sotnikovo,RU,51.88,107.48,8.6,92,40,2.24
samdrup jongkhar,BT,26.92,91.62,60.44,51,0,5.06
alappuzha,IN,9.49,76.33,78.6,81,92,1.66
raudeberg,NO,61.99,5.14,55.99,58,100,12.39
saint george,BM,32.38,-64.68,73.4,73,40,13.87
dudinka,RU,69.41,86.18,-11.2,83,68,22.37
boralday,KZ,43.36,76.86,30.2,100,90,2.24
linhares,BR,-19.39,-40.07,73.36,76,70,6.02
chatra,IN,24.22,84.87,64.33,69,10,0.65
oranjemund,NA,-28.55,16.43,66.24,56,0,4.29
mildura,AU,-34.2,142.15,62.01,63,90,4.7
opuwo,NA,-18.06,13.84,72.77,54,80,2.15
along,IN,28.17,94.77,55.11,61,0,1.57
salmo,CA,49.2,-117.27,35.6,69,100,3.36
evensk,RU,61.95,159.23,2.5,85,51,9.44
enumclaw,US,47.2,-121.99,51.01,68,99,1.01
svetlogorsk,RU,54.94,20.15,42.8,87,90,8.95
ellensburg,US,47,-120.55,41,61,99,1.01
sisimiut,GL,66.94,-53.67,23.4,90,82,16.15
marquard,ZA,-28.66,27.43,61.02,60,1,4.63
phalodi,IN,27.13,72.37,67.84,25,0,7.29
northfield,US,44.46,-93.16,26.6,86,40,9.17
kavaratti,IN,10.57,72.64,82.26,71,1,7.87
mnogovershinnyy,RU,53.94,139.92,23.97,99,100,2.73
atambua,ID,-9.11,124.89,81.37,63,45,0.89
yenagoa,NG,4.92,6.26,77.11,91,83,3
shenjiamen,CN,29.96,122.3,63.59,72,5,13.67
paidha,UG,2.42,30.99,61.77,92,51,2.28
shinshiro,JP,34.9,137.5,55.99,75,0,5.01
aykhal,RU,66,111.5,14,92,90,6.71
wageningen,SR,5.77,-56.68,77.4,92,61,4.41
boksitogorsk,RU,59.47,33.85,33.01,94,98,3.38
wanning,CN,18.8,110.4,67.39,71,44,12.46
ust-kut,RU,56.79,105.77,23.92,96,91,2.64
necochea,AR,-38.55,-58.74,69.01,79,26,11.99
san quintin,MX,30.48,-115.95,65.98,57,78,11.9
ostrovnoy,RU,68.05,39.51,25.2,94,0,8.16
guajara,BR,-2.97,-57.67,84.43,60,72,1.74
galeana,MX,24.83,-100.07,80.01,21,26,5.01
roebourne,AU,-20.78,117.13,83.71,19,0,6.24
dapdap,PH,12.06,125.49,82.35,82,86,7.14
bukachacha,RU,52.98,116.92,17.67,92,2,2.19
indramayu,ID,-6.33,108.32,82.4,77,63,8.19
pathein,MM,16.78,94.73,73.62,81,63,8.05
villa del rosario,VE,10.32,-72.31,78.31,86,88,5.35
nishihara,JP,26.18,127.76,71.6,83,75,16.11
coihaique,CL,-45.58,-72.07,55.4,54,75,6.93
deputatskiy,RU,69.3,139.9,-15.84,91,64,1.19
samarai,PG,-10.62,150.67,80.26,65,41,10.98
natal,BR,-5.79,-35.21,80.6,74,20,11.41
pafos,CY,34.77,32.42,60.8,77,20,9.17
miri,MY,4.41,114.01,77,100,40,4.27
yuncheng,CN,35.02,110.99,52.66,56,34,5.64
kieta,PG,-6.22,155.63,84.11,72,44,5.37
kamenka,RU,51.32,42.77,30.99,85,42,7.78
sembe,CG,1.65,14.58,73.47,84,92,1.83
ferrandina,IT,40.5,16.45,55,100,40,2.24
puerto madryn,AR,-42.77,-65.04,70.72,38,47,11.79
inirida,CO,3.87,-67.92,79.07,83,80,1.25
russell,NZ,-35.26,174.12,64.51,68,6,6.96
touros,BR,-5.2,-35.46,78.8,83,0,10.29
koronowo,PL,53.31,17.94,44.01,81,90,3.36
rocha,UY,-34.48,-54.33,60.69,95,37,6.08
contamana,PE,-7.33,-75.02,82.58,63,66,3.6
djibo,BF,14.1,-1.63,77.36,18,0,8.59
verkhnevilyuysk,RU,63.45,120.32,20.66,98,100,4.81
kaspiyskiy,RU,45.39,47.37,31.95,86,0,5.39
hazorasp,UZ,41.32,61.07,24.8,85,0,4.7
hofn,IS,64.25,-15.21,44.85,80,88,4.65
kamyshin,RU,50.1,45.42,28.74,93,53,12.48
healesville,AU,-37.65,145.52,62.01,65,52,4.83
tahoua,NE,14.89,5.27,76.62,21,40,9.86
miraflores,CO,1.34,-71.95,75.34,96,97,2.93
champerico,GT,14.3,-91.92,86,74,40,11.41
bahia blanca,AR,-38.72,-62.27,75.09,48,16,10.29
bandrele,YT,-12.91,45.19,77,88,0,3.36
buraydah,SA,26.33,43.98,68,100,40,11.41
ryotsu,JP,38.08,138.43,46.4,75,40,6.93
dawson creek,CA,55.77,-120.24,37.4,47,20,11.41
ishigaki,JP,24.34,124.16,73.4,100,75,17.22
carmaux,FR,44.05,2.16,55,89,0,5.99
teguldet,RU,57.31,88.17,25.43,98,100,10.04
lixourion,GR,38.2,20.43,61.12,72,0,2.64
sitka,US,57.05,-135.33,41,86,90,12.75
umm lajj,SA,25.02,37.27,72.79,68,0,9.8
broken hill,AU,-31.95,141.43,62.6,59,90,8.05
bud,NO,62.91,6.91,50,71,100,13.87
karratha,AU,-20.74,116.85,81.25,20,0,8.3
bankura,IN,23.25,87.07,70.36,51,7,5.79
tacuarembo,UY,-31.73,-55.98,64.47,86,0,6.13
kahului,US,20.89,-156.47,82.4,58,40,20.8
sistranda,NO,63.73,8.83,46.4,65,0,17.22
camacha,PT,33.08,-16.33,68,88,40,8.05
amuntai,ID,-2.42,115.25,77.74,83,68,1.16
kloulklubed,PW,7.04,134.26,78.8,94,75,9.04
