,country,temp (f),humidity %,cloudiness %,wind (mph)
san vicente,ph,75.2,94,90,17.22
dingtao,cn,61.57,47,0,10.6
san quintin,mx,61.99,59,5,10.4
tighina,md,41,80,90,5.82
ribeira grande,pt,61.59,59,99,6.4
derzhavinsk,kz,26.46,95,100,5.84
coihaique,cl,57.2,58,90,9.17
libertador general san martin,ar,70.97,81,25,2.24
torbay,ca,43.72,93,90,18.34
jalu,ly,59.88,71,0,5.91
aspindza,ge,38.79,76,48,1.92
santiago del estero,ar,73,80,31,1.99
kasempa,zm,66.83,71,100,0.31
namibe,ao,71.31,81,23,5.32
neuquen,ar,71.6,60,20,14.99
islamkot,pk,71.31,22,0,8.79
carballo,es,53.51,100,75,1.12
bengkulu,id,84.7,65,96,3.49
rudbar,af,66.22,27,100,7.2
algiers,dz,51.8,93,20,3.36
chuzhou,cn,66,49,0,1.01
bandarbeyla,so,74.14,84,100,13.04
fairbanks,us,25.05,79,75,1.25
ahipara,nz,64.92,58,36,8.12
carnot,cf,70.11,66,3,1.16
garowe,so,71.91,65,52,7.4
klaksvik,fo,41,86,100,10.29
san alfonso,ph,85.51,64,100,2.37
rio grande,br,64,96,88,1.99
utica,co,55.4,93,75,2.24
evensk,ru,2.59,85,25,8.01
cartagena,co,80.6,94,40,2.24
itupiranga,br,80.6,88,0,3.36
nowogard,pl,41.49,86,90,5.82
vanimo,pg,78.46,84,100,6.76
marsa matruh,eg,62.6,72,0,7.4
pontes e lacerda,br,72.12,94,96,4.63
pagudpud,ph,82.4,74,75,19.46
banepa,np,53.6,87,20,2.24
ziro,in,52.72,59,0,2.64
acapulco,mx,82.4,74,5,4.7
kirakira,sb,85.39,75,17,6.93
baruun-urt,mn,30.67,81,0,10.02
margate,za,64.85,77,98,4.45
tuy hoa,vn,77.2,90,100,12.28
rosamorada,mx,71.29,85,34,3.27
meadow lake,ca,-3.68,91,13,0.81
kalabo,zm,69.08,80,100,3.94
hofn,is,36.91,74,49,8.25
yarkovo,ru,16.99,96,0,6.67
veraval,in,74.89,34,0,13.09
hithadhoo,mv,82.9,71,100,1.36
willmar,us,28.63,79,1,9.62
bendorf,de,44.33,93,62,1.01
ulagan,ru,24.91,85,100,4.45
hokitika,nz,60.67,77,75,7.31
palu,id,91.44,48,37,2.15
bath,us,59.81,88,1,8.05
flinders,au,74.1,72,99,1.99
acarau,br,79.7,81,5,15.12
porto torres,it,50,100,0,4.7
sindor,ru,26.8,95,100,11.39
krasnoselkup,ru,7.74,95,100,10.92
nabire,id,85.78,69,53,5.41
thinadhoo,mv,82.71,73,73,2.64
port hardy,ca,41.7,86,90,4.7
salym,ru,16.11,97,13,6.53
kavaratti,in,82.26,64,100,11.45
boa vista,br,82.4,78,0,1.12
nakamura,jp,64.42,55,0,2.64
farsund,no,46.99,96,100,19.33
richards bay,za,64.04,83,72,4.27
shelburne,ca,40.75,77,0,10.02
wamba,cd,65.46,98,100,0.22
port macquarie,au,84.61,42,7,1.99
herat,af,55.4,50,90,2.24
nanortalik,gl,29.75,84,0,5.44
clyde river,ca,23,92,75,36.91
asilah,ma,64.4,77,0,18.34
baie-comeau,ca,50,93,40,27.51
soe,id,89.71,29,100,7.23
port blair,in,83.12,74,46,18.92
bairiki,ki,87.8,62,40,10.29
miles city,us,19.4,79,90,4.7
harlingen,nl,49.32,93,90,13.87
buraydah,sa,68,94,0,4.7
grand gaube,mu,73,77,2,1.99
kavieng,pg,85.03,70,52,7.85
meulaboh,id,80.56,80,89,3.56
shache,cn,34.36,61,100,4.21
angoche,mz,77.59,83,40,0.94
vyshhorod,ua,37.02,83,100,4.92
maneadero,mx,57,75,0,1.99
limbang,my,86.9,70,75,1.12
akdepe,tm,30.2,74,0,6.93
aljezur,pt,57.99,87,100,5.01
champerico,gt,66,96,91,10.63
coquimbo,cl,55.4,87,11,4.7
sterling,us,68.16,94,90,1.99
arica,cl,64,77,56,5.01
olafsvik,is,38.82,84,100,15.19
lavrentiya,ru,32.2,97,100,11.54
predivinsk,ru,31.77,91,51,12.01
trujillo,ve,68.9,83,100,1.57
saldanha,za,60.8,72,0,2.24
westport,nz,61.92,71,19,8.21
katima mulilo,na,70.5,74,90,8.55
yeppoon,au,84.2,32,0,10.29
nicoya,cr,77,94,75,3.36
lusaka,zm,65.43,85,10,10.98
guerrero negro,mx,63,58,0,11.99
svetlyy,ru,40.48,86,90,4.47
haimen,cn,68,49,0,8.95
vao,nc,72.07,85,7,19.13
iqaluit,ca,21.2,67,75,10.29
ucluelet,ca,42.93,81,75,8.05
mayo,ca,12.2,72,75,9.17
safaga,eg,69.8,35,0,9.17
minsk,by,37.4,86,90,4.47
suratgarh,in,62.29,31,0,5.08
leh,in,29.16,72,0,2.3
ketchikan,us,38.1,93,90,34.45
maracaju,br,72.5,86,0,4.92
ponta pora,br,67.98,90,96,1.19
ambon,id,85.82,69,29,3.38
cockburn town,tc,81.16,75,59,26.4
da lat,vn,68.99,78,70,5.55
pafos,cy,62.6,72,11,9.17
sorland,no,47.59,86,18,9.42
sur,om,70.77,69,0,4.05
port hedland,au,98.6,16,0,9.17
hazorasp,uz,28.4,79,0,6.93
rafraf,tn,60.8,87,40,5.64
barabai,id,90.21,55,79,2.33
pergamino,ar,68.88,63,0,1.99
pangnirtung,ca,21.33,94,100,11.86
oranjestad,aw,84.2,74,20,9.17
howard springs,au,90.34,62,40,9.17
cabra,ph,79.74,89,100,30.44
buala,sb,85.46,70,49,5.86
inhambane,mz,72.34,84,35,11.63
svetlogorsk,ru,40.46,86,90,4.47
bud,no,42.8,87,100,8.05
alindao,cf,70.2,86,89,0.54
cayenne,gf,77,100,0,2.24
christchurch,nz,63.54,55,49,12.75
ilebo,cd,68.7,96,100,0.89
talnakh,ru,5,84,40,15.66
polunochnoye,ru,24.58,89,100,9.46
toamasina,mg,69.8,94,40,2.24
voh,nc,80.71,66,44,5.5
villarrica,cl,51.8,81,90,4.7
chernyshevskiy,ru,15.87,98,98,8.43
pacific grove,us,53.37,87,40,3.36
silver city,us,41,41,1,9.17
itiuba,br,71.28,80,0,8.01
askiz,ru,33.49,87,14,9.64
vila franca do campo,pt,59,67,40,4.7
bosaso,so,74.16,77,0,4.32
emba,kz,25.66,97,33,8.52
tual,id,83.84,77,15,12.12
tezu,in,74.88,46,0,0.56
alta floresta,br,76.28,66,7,2.08
chachoengsao,th,77.5,88,91,12.12
husavik,is,24.8,79,0,6.93
poum,nc,75.97,75,3,10.22
fez,ma,55.4,62,0,3.36
sepuka,tz,66.97,76,100,3.58
pueblo,us,35.73,43,1,6.93
nantucket,us,62.33,93,75,14.99
iquique,cl,64.4,68,0,10.29
nome,us,32.81,86,90,5.77
whitehorse,ca,26.6,79,40,21.92
east haddam,us,63.79,100,90,6.93
shiraz,ir,51.01,100,90,2.19
hualmay,pe,62.56,84,92,6.58
trail,ca,33.8,80,17,3.36
manama,bh,80.6,74,0,5.82
sabha,jo,57.2,87,1,6.98
guaruja,br,73.99,26,100,7.27
arcachon,fr,53.1,93,0,2.24
nishihara,jp,74.03,64,90,10.29
arlit,ne,68.72,25,0,8.66
enid,us,45.34,65,1,3.36
lufkin,us,65.66,40,1,3.36
bella vista,us,46.6,65,1,5.82
carutapera,br,79.27,81,100,5.28
gorodets,ru,30.09,68,90,11.18
aykhal,ru,19.4,92,90,4.47
kruisfontein,za,59,87,0,1.99
apiai,br,61.7,100,100,1.05
tutoia,br,80.78,81,48,12.97
loja,es,50.88,93,0,1.12
corowa,au,72.68,47,40,6.93
tilichiki,ru,12.6,93,15,5.01
oktyabrskiy,ru,24.31,97,80,9.19
seoul,kr,50.54,53,1,1.34
edd,er,79.07,53,0,7.18
touros,br,77,78,40,8.05
kalmunai,lk,77.58,90,100,6.17
tautira,pf,80.6,69,40,12.75
sioux lookout,ca,24.8,73,75,3.36
pisco,pe,64.22,88,0,12.75
erzin,ru,23.65,85,0,5.97
copperas cove,us,65.25,52,1,7.02
mazamari,pe,71.31,79,87,2.3
kissidougou,gn,68.31,60,3,2.8
luanda,ao,78.8,83,75,4.7
roald,no,53.6,71,100,6.93
vernon,fr,52.48,87,75,14.99
port-gentil,ga,79.2,83,99,5.55
odweyne,so,66.07,39,0,12.93
porto nacional,br,78.8,74,20,3.36
bubaque,gw,83.89,78,0,11.95
parnarama,br,79.61,65,17,2.95
grosse pointe farms,us,41.02,65,75,4.7
vestmanna,fo,41,86,100,10.29
muskegon,us,35.58,69,1,5.3
garoua boulai,cm,64.74,62,42,2.57
cam ranh,vn,84.2,79,75,17.22
burnie,au,59,74,99,14
chapais,ca,30.2,86,75,12.75
nuuk,gl,14.65,89,64,6.38
lorengau,pg,86,62,99,5.46
porto santo,pt,64.4,77,20,5.3
honningsvag,no,42.21,69,0,20.8
guozhen,cn,60.78,50,66,2.15
kloulklubed,pw,86,79,75,8.05
zemio,cf,67.46,88,72,1.3
nouadhibou,mr,71.6,64,0,12.75
ouesso,cg,69.31,97,41,1.36
tynda,ru,12.33,94,100,1.99
ozernovskiy,ru,36.5,83,100,26.19
baoqing,cn,45.57,60,0,10.8
melfort,ca,6.8,84,100,9.17
fundata,ro,34.63,89,28,1.01
krasnyy chikoy,ru,25.02,91,37,4.29
katsuura,jp,51.94,62,75,16.11
geraldton,au,69.8,46,0,2.24
shingu,jp,59,72,75,5.82
tungor,ru,28.42,92,83,5.01
tazovskiy,ru,-3.86,92,29,7.45
gari,ru,24.06,91,100,9.01
nong kung si,th,73.71,78,75,6.93
ahuimanu,us,80.64,58,40,14.99
srednekolymsk,ru,-12.01,89,100,7.47
baghmara,in,74.46,51,0,3.18
thunder bay,ca,27.03,92,90,4.41
aswan,eg,61.18,46,0,8.01
piney green,us,75.38,83,90,13.87
wattegama,lk,75.2,100,20,2.24
genhe,cn,25.79,95,100,5.12
san cristobal,ec,68.63,78,58,6.91
kinablangan,ph,84.13,69,100,2.51
nizhniy kuranakh,ru,24.49,96,100,3.76
skjervoy,no,46.17,69,0,13.38
samarai,pg,80.83,72,2,11.52
vrangel,ru,49.75,88,87,6.82
praia da vitoria,pt,57.11,87,75,4.52
bonthe,sl,78.53,84,0,5.23
pontianak,id,86.38,67,75,3.58
imeni poliny osipenko,ru,25.75,94,98,6.49
mutiscua,co,66.2,100,40,3.36
patnagarh,in,72.64,85,20,5.21
bakau,gm,75.2,100,0,5.61
pasni,pk,74.44,56,0,6.29
pittsburg,us,51.1,67,100,0.67
eresos,gr,57.2,82,0,3.36
chicama,pe,63.66,82,99,3.47
abdanan,ir,55.29,73,1,1.99
dzitas,mx,73.74,98,95,3.33
kidal,ml,69.21,24,0,10.85
hearst,ca,21.2,100,74,1.12
at-bashi,kg,30.63,74,24,2.01
medicine hat,ca,14,85,90,4.7
linping,cn,61.81,59,0,2.24
hay river,ca,0.52,64,0,9.17
fort nelson,ca,-0.4,84,75,3.36
tarso,co,56.08,93,75,2.24
viedma,ar,61,85,80,14.47
okhotsk,ru,6.49,85,0,16.22
falam,mm,63.25,70,0,1.01
erdenet,mn,26.26,77,91,4.34
marshall,us,63.12,93,75,4.7
qaqortoq,gl,23.95,82,0,5.91
nemuro,jp,41,60,0,9.17
padang,id,84.7,60,80,2.15
morrinhos,br,70.36,86,99,1.54
leiyang,cn,66,47,0,3.62
kahului,us,78.78,48,40,24.16
cerrito,py,72.48,76,85,9.13
port lincoln,au,60.71,65,99,16.78
grand island,us,37.47,64,1,6.93
consett,gb,50.68,92,100,1.01
pimampiro,ec,60.73,74,100,2.64
etchojoa,mx,67.44,56,0,5.01
daru,pg,83.71,67,48,9.71
borogontsy,ru,-2.27,90,97,5.66
moussoro,td,77.5,21,0,13.51
chenzhou,cn,65.71,50,0,3.36
mecca,sa,75.72,66,0,4.83
kuusankoski,fi,38.37,100,90,4.7
qunduz,af,52.52,57,99,2.73
huangmei,cn,64.44,47,0,4.14
san roque,ph,75.2,94,90,17.22
leua,ao,64.71,97,100,4.79
natubleng,ph,56.12,100,100,13.56
itarema,br,79.75,81,3,15.39
providencia,mx,62.47,39,0,3
calvinia,za,63.28,30,0,7.83
elko,us,29.16,59,75,6.93
vostok,ru,38.91,77,41,3.98
grindavik,is,35.6,70,75,18.34
kulhudhuffushi,mv,82.38,71,19,8.32
pallasovka,ru,27.57,94,15,6.46
udachnyy,ru,19.4,92,90,4.47
liepaja,lv,41,80,99,8.05
turkmenabat,tm,50,71,75,11.41
ola,ru,6.24,84,0,9.37
kingaroy,au,79.75,36,61,8.05
bida,ng,77.67,46,86,3.04
isangel,vu,82.4,74,75,9.17
dingle,ie,49.1,71,30,17.43
zorritos,pe,67.66,83,100,10.38
elat,il,62.51,72,0,5.41
tateyama,jp,52.47,71,75,20.8
yarada,in,77,88,75,2.24
sovetskaya gavan,ru,37.72,71,98,2.89
beringovskiy,ru,20.64,91,100,10.16
khash,ir,51.64,63,100,3.53
ankara,tr,35.82,81,0,1.12
half moon bay,us,52.92,87,1,6.93
gizo,sb,85.62,67,21,6.29
gwadar,pk,72.57,65,0,4.25
trincomalee,lk,78.69,88,100,8.66
cascavel,br,64.51,92,17,2.68
shimoda,jp,51.17,71,75,20.8
takoradi,gh,78.49,83,2,3.78
chupa,ru,33.3,92,100,6.31
kamenka,ru,30.99,90,97,5.61
sept-iles,ca,39.2,93,75,3.36
kormilovka,ru,17.6,92,75,2.24
mogzon,ru,23.04,90,0,4.9
the valley,ai,75.99,83,20,13.87
iskateley,ru,23.65,96,80,11.61
namatanai,pg,84.31,73,76,5.82
makakilo city,us,82.56,51,20,11.41
kenitra,ma,55.4,100,100,2.71
birjand,ir,50,43,75,9.17
manta,ec,71.6,78,20,6.93
alpine,us,56.17,38,5,8.05
port moresby,pg,89.6,59,20,17.22
ixtapa,mx,78.91,74,75,4.7
yarmouth,ca,58.71,100,90,19.46
umm lajj,sa,73.27,55,0,8.86
gilgit,pk,51.46,39,20,0.96
natal,br,77.94,74,40,11.41
three hills,ca,3.2,77,52,2.24
savannah bight,hn,82.2,69,21,2.1
petropavlovsk-kamchatskiy,ru,35.6,80,75,8.95
havre,us,12.2,85,1,9.17
la palma,pa,75.83,91,99,2.3
george,za,55.4,100,0,3.36
